Candidate,Party,Votes,Constituency,Region,Result,Seats
M Y PATIL,Indian National Congress,71735,Afzalpur,Hyderabad Karnataka,Won,1
MALIKAYYA GUTTEDAR,Bharatiya Janata Party,61141,Afzalpur,Hyderabad Karnataka,Lost,0
RAJU GOUDA REVOOR,Janata Dal (Secular),13340,Afzalpur,Hyderabad Karnataka,Lost,0
Other,Others,2249,Afzalpur,Hyderabad Karnataka,Lost,0
None of the Above,None of the Above,1243,Afzalpur,Hyderabad Karnataka,Lost,0
GUTTEDAR SUBHASH RUKMAYYA,Bharatiya Janata Party,76815,Aland,Hyderabad Karnataka,Won,1
B R PATIL,Indian National Congress,76118,Aland,Hyderabad Karnataka,Lost,0
Other,Others,4844,Aland,Hyderabad Karnataka,Lost,0
SURYAKANT K KORALLI,Janata Dal (Secular),1387,Aland,Hyderabad Karnataka,Lost,0
None of the Above,None of the Above,1445,Aland,Hyderabad Karnataka,Lost,0
B.SHIVANNA,Indian National Congress,113894,Anekal,Bengaluru Karnataka,Won,1
A.NARAYANASWAMY,Bharatiya Janata Party,105267,Anekal,Bengaluru Karnataka,Lost,0
Other,Others,6401,Anekal,Bengaluru Karnataka,Lost,0
None of the Above,None of the Above,2115,Anekal,Bengaluru Karnataka,Lost,0
BALACHANDRA LAKSHMANARAO JARAKIHOLI,Bharatiya Janata Party,96144,Arabhavi,Mumbai Karnataka,Won,1
BHIMAPPA GUNDAPPA GADAD,Janata Dal (Secular),48816,Arabhavi,Mumbai Karnataka,Lost,0
ARVIND MAHADEVRAO DALWAI,Indian National Congress,23253,Arabhavi,Mumbai Karnataka,Lost,0
Other,Others,7325,Arabhavi,Mumbai Karnataka,Lost,0
None of the Above,None of the Above,1398,Arabhavi,Mumbai Karnataka,Lost,0
A. T. RAMASWAMY,Janata Dal (Secular),85064,Arkalgud,Old Mysore,Won,1
MANJU .A,Indian National Congress,74411,Arkalgud,Old Mysore,Lost,0
H. YOGARAMESHA,Bharatiya Janata Party,22679,Arkalgud,Old Mysore,Lost,0
Other,Others,5561,Arkalgud,Old Mysore,Lost,0
None of the Above,None of the Above,1189,Arkalgud,Old Mysore,Lost,0
K.M SHIVALINGE GOWDA,Janata Dal (Secular),93986,Arsikere,Old Mysore,Won,1
G.B.SHASHIDHARA,Indian National Congress,50297,Arsikere,Old Mysore,Lost,0
G. MARISWAMY,Bharatiya Janata Party,25258,Arsikere,Old Mysore,Lost,0
Other,Others,2339,Arsikere,Old Mysore,Lost,0
None of the Above,None of the Above,1079,Arsikere,Old Mysore,Lost,0
MAHESH IRANAGOUDA KUMATHALLI,Indian National Congress,82094,Athani,Mumbai Karnataka,Won,1
LAXMAN SANGAPPA SAVADI,Bharatiya Janata Party,79763,Athani,Mumbai Karnataka,Lost,0
GIRISH KEDAREPPA BUTALI,Janata Dal (Secular),3381,Athani,Mumbai Karnataka,Lost,0
Other,Others,4485,Athani,Mumbai Karnataka,Lost,0
None of the Above,None of the Above,842,Athani,Mumbai Karnataka,Lost,0
PRABHU CHAUHAN,Bharatiya Janata Party,75061,Aurad,Hyderabad Karnataka,Won,1
VIJAYKUMAR,Indian National Congress,64469,Aurad,Hyderabad Karnataka,Lost,0
DHANAJI,Janata Dal (Secular),2605,Aurad,Hyderabad Karnataka,Lost,0
Other,Others,4310,Aurad,Hyderabad Karnataka,Lost,0
None of the Above,None of the Above,964,Aurad,Hyderabad Karnataka,Lost,0
RAMALINGA REDDY,Indian National Congress,67085,BTM Layout,Bengaluru Karnataka,Won,1
LALLESH REDDY,Bharatiya Janata Party,46607,BTM Layout,Bengaluru Karnataka,Lost,0
K DEVADAS,Janata Dal (Secular),17307,BTM Layout,Bengaluru Karnataka,Lost,0
Other,Others,2568,BTM Layout,Bengaluru Karnataka,Lost,0
None of the Above,None of the Above,2365,BTM Layout,Bengaluru Karnataka,Lost,0
MALLANAGOUD BASANAGOUD PATIL,Indian National Congress,98339,Babaleshwar,Hyderabad Karnataka,Won,1
VIJAYAKUMAR SIDRAMGOUDA PATIL,Bharatiya Janata Party,68624,Babaleshwar,Hyderabad Karnataka,Lost,0
Other,Others,2896,Babaleshwar,Hyderabad Karnataka,Lost,0
None of the Above,None of the Above,1786,Babaleshwar,Hyderabad Karnataka,Lost,0
SIDDARAMAIAH,Indian National Congress,67599,Badami,Mumbai Karnataka,Won,1
B SREERAMULU,Bharatiya Janata Party,65903,Badami,Mumbai Karnataka,Lost,0
HANAMANT MAVINAMARAD,Janata Dal (Secular),24484,Badami,Mumbai Karnataka,Lost,0
Other,Others,3932,Badami,Mumbai Karnataka,Lost,0
None of the Above,None of the Above,2007,Badami,Mumbai Karnataka,Lost,0
VEERABHADRAYYA (VEERANNA) CHARANTIMATH,Bharatiya Janata Party,85653,Bagalkot,Mumbai Karnataka,Won,1
METI HULLAPPA YAMANAPPA,Indian National Congress,69719,Bagalkot,Mumbai Karnataka,Lost,0
Other,Others,4237,Bagalkot,Mumbai Karnataka,Lost,0
None of the Above,None of the Above,1902,Bagalkot,Mumbai Karnataka,Lost,0
S.N. SUBBAREDDY(CHINNAKAYALAPALLI),Indian National Congress,65710,Bagepalli,Central Karnataka,Won,1
Other,Others,55696,Bagepalli,Central Karnataka,Lost,0
DR. C. R. MANOHAR,Janata Dal (Secular),38302,Bagepalli,Central Karnataka,Lost,0
SAIKUMAR. P.,Bharatiya Janata Party,4140,Bagepalli,Central Karnataka,Lost,0
None of the Above,None of the Above,680,Bagepalli,Central Karnataka,Lost,0
KOUJALAGI. MAHANTESH. SHIVANAND.,Indian National Congress,47040,Bailhongal,Mumbai Karnataka,Won,1
Other,Others,45362,Bailhongal,Mumbai Karnataka,Lost,0
VISHWANATH IRANAGOUDA PATIL,Bharatiya Janata Party,37498,Bailhongal,Mumbai Karnataka,Lost,0
SHANKAR. BHARAMAPPA. MADALAGI,Janata Dal (Secular),13548,Bailhongal,Mumbai Karnataka,Lost,0
None of the Above,None of the Above,1352,Bailhongal,Mumbai Karnataka,Lost,0
M KRISHNAPPA,Bharatiya Janata Party,152469,Bangalore South,Bengaluru Karnataka,Won,1
R K RAMESH,Indian National Congress,122052,Bangalore South,Bengaluru Karnataka,Lost,0
R PRABHAKAR REDDY,Janata Dal (Secular),36164,Bangalore South,Bengaluru Karnataka,Lost,0
Other,Others,4834,Bangalore South,Bengaluru Karnataka,Lost,0
None of the Above,None of the Above,15829,Bangalore South,Bengaluru Karnataka,Lost,0
S.N.NARAYANASWAMY K.M,Indian National Congress,70871,Bangarpet,South Karnataka,Won,1
M.MALLESH BABU,Janata Dal (Secular),49300,Bangarpet,South Karnataka,Lost,0
VENKATAMUNIYAPPA B.P.,Bharatiya Janata Party,33555,Bangarpet,South Karnataka,Lost,0
Other,Others,2001,Bangarpet,South Karnataka,Lost,0
None of the Above,None of the Above,1127,Bangarpet,South Karnataka,Lost,0
RAJESH NAIK U.,Bharatiya Janata Party,97802,Bantval,Coastal Karnataka,Won,1
B RAMANATHA RAI,Indian National Congress,81831,Bantval,Coastal Karnataka,Lost,0
Other,Others,1976,Bantval,Coastal Karnataka,Lost,0
None of the Above,None of the Above,946,Bantval,Coastal Karnataka,Lost,0
