Region,Alliance,Rank,Votes,Result,Candidate,Party,Constituency,SeatsWon,rcount_BJP_cong_jds_nota,ResultMinority
Hyderabad Karnataka,Cong-JDS,1st,71735,Won_,M Y PATIL,Indian National Congress,Afzalpur,1,1,Won
Hyderabad Karnataka,BJP,2nd,61141,Lost_,MALIKAYYA GUTTEDAR,Bharatiya Janata Party,Afzalpur,0,1,Lost
Hyderabad Karnataka,Cong-JDS,3rd,13340,Lost_,RAJU GOUDA REVOOR,Janata Dal (Secular),Afzalpur,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,596,Lost_,RAJU RAMACHANDRA HEROOR,All India Mahila Empowerment Party,Afzalpur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,590,Lost_,DIGAMBAR,Independent,Afzalpur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,564,Lost_,WALI MALLAPPA,Independent,Afzalpur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,499,Lost_,K M BARMA,Dr. Ambedkar People's Party,Afzalpur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,4th,1243,Lost_,None of the Above,NOTA,Afzalpur,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,BJP,1st,76815,Won_,GUTTEDAR SUBHASH RUKMAYYA,Bharatiya Janata Party,ALAND,1,1,Won
Hyderabad Karnataka,Cong-JDS,2nd,76118,Lost_,B R PATIL,Indian National Congress,ALAND,0,1,Lost
Hyderabad Karnataka,Others_a,3rd,2213,Lost_,ARUNKUMAR C PATIL HALLISALGAR,Janata Dal (United),ALAND,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Cong-JDS,5th and above,1387,Lost_,SURYAKANT K KORALLI,Janata Dal (Secular),ALAND,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,808,Lost_,SWAMI SHIVAYYA,Independent,ALAND,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,393,Lost_,RATNAPPA RAMCHANDRAPPA,Independent,ALAND,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,390,Lost_,AFZAL ANSARI,All India Mahila Empowerment Party,ALAND,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,388,Lost_,SHARANAPPA BHIMSHA ZALAKE,Bhaarateeya Janashakthi Congress,ALAND,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,344,Lost_,KUSHAL CHATTRU RATHOD,National Development Party,ALAND,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,199,Lost_,ANSARI JAHEER,Independent,ALAND,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,109,Lost_,D K KONKATE KERROR,Rashtriya Samaj Paksha,ALAND,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,4th,1445,Lost_,None of the Above,NOTA,ALAND,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,113894,Won_,B.SHIVANNA,Indian National Congress,Anekal,1,1,Won - had more than 50% votes
Bengaluru Karnataka,BJP,2nd,105267,Lost_,A.NARAYANASWAMY,Bharatiya Janata Party,Anekal,0,1,Lost
Bengaluru Karnataka,Others_a,3rd,2932,Lost_,G. SRINIVAS,Bahujan Samaj Party,Anekal,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,1425,Lost_,D.MAHADESH,Communist Party of India (Marxist),Anekal,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,481,Lost_,MUNIKRISHNAPPA,All India Mahila Empowerment Party,Anekal,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,436,Lost_,C.NARAYANASWAMY,Independent,Anekal,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,247,Lost_,MANJUNATH V,Independent,Anekal,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,229,Lost_,A.NARAYANASWAMY,Independent,Anekal,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,216,Lost_,M.MUNIYALLAMMA,Republican Sena,Anekal,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,178,Lost_,VENKATESHAPPA,Sarva Janata Party,Anekal,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,132,Lost_,Y.RAVINDRA,Bharatiya Praja Paksha,Anekal,0,0,Lost - had less than 20% votes
